Tipo,Pregunta,RespuestaCorrecta,RespuestaModelo,BERTScore_F1
Cálculo y unidades,"Tiempo de mecanizado: si FTIME devuelve 2,5 s, ¿cuánto son en unidades PLC?","2,5 s = 2.500 ms ? 2.500 unidades PLC.","Según el contexto, el tiempo de mecanizado se expresa en milésimas de segundo en unidades PLC. Por lo tanto, para convertir 2,5 segundos a unidades PLC, multiplicamos este valor por 1000:

2,5 segundos x 1000 = 2500

Por lo tanto, 2,5 segundos equivalen a 2500 en unidades PLC.

Podemos comparar este valor con una variable de lectura de tiempo en unidades PLC (V.)PLC.TIMER o (V.)PLC.CLK[nb] para ver si son iguales o diferentes. Por ejemplo, si la variable de lectura es 2500, entonces ambos valores son iguales. Si la variable de lectura es diferente, por ejemplo, 2499, entonces los valores son diferentes.",0.789818525314331
Cálculo y unidades,"Porcentajes x100: representa 87,5% en una variable que el manual define como x100.","87,5% ? 8.750.","Según el contexto, si una variable se lee en centésimas (x100), significa que el valor real debe multiplicarse por 100 para obtener el valor en unidades PLC.

Para representar el 87,5% en una variable que se lee en centésimas (x100), multiplicamos el porcentaje por 100:

87,5% x 100 = 8750

Por lo tanto, 87,5% equivalen a 8750 en una variable que se lee en centésimas (x100).

Podemos escribir este valor en una variable de lectura y escritura desde el programa, PLC o interfaz, como (V.)[ch].A.PRGSSO.sn o (V.)[ch].SP.PRGSSO.sn, para verificar si el valor se ha ingresado correctamente. Por ejemplo, si la variable es (V.)A.PRGSSO.sn, entonces el valor ingresado debería ser 8750. Si la variable es diferente, por ejemplo, 8749, entonces el valor ingresado es diferente.",0.7495960593223572
Cálculo y unidades,Porcentajes x10: representa 63% en una variable % tipo x10.,63% ? 630.,"Según el contexto, si una variable se lee en décimas (x10), significa que el valor real debe multiplicarse por 10 para obtener el valor en unidades PLC.

Para representar el 63% en una variable que se lee en décimas (x10), multiplicamos el porcentaje por 10:

63% x 10 = 630

Por lo tanto, 63% equivalen a 630 en una variable que se lee en décimas (x10).

Podemos escribir este valor en una variable de lectura y escritura desde el programa, PLC o interfaz, como (V.)[ch].A.PRGSSO.sn o (V.)[ch].SP.PRGSSO.sn, para verificar si el valor se ha ingresado correctamente. Por ejemplo, si la variable es (V.)A.PRGSSO.sn, entonces el valor ingresado debería ser 630. Si la variable es diferente, por ejemplo, 629, entonces el valor ingresado es diferente.",0.7489405274391174
Cálculo y unidades,"Evaluación rápida: si CNCRD(G.FREAL) devuelve 23.500.000, ¿supera 2.000 mm/min?",2.000 mm/min = 20.000.000 unidades;  23.500.000 > 20.000.000 ? Sí.,"Según el contexto, las unidades PLC para el avance real filtrado (G.FREAL) se expresan en diezmilésimas si son milímetros por minuto (mm/min). Por lo tanto, para convertir 23.500.000 a unidades de mm/min, dividimos este valor por 10000:

23.500.000 / 10000 = 2350 mm/min

Por lo tanto, 23.500.000 en unidades PLC equivalen a 2350 mm/min.

Comparando este valor con 2.000 mm/min, el valor es superior ya que 2350 mm/min es mayor que 2.000 mm/min.

Podemos comparar este valor con una variable de lectura desde el PLC (V.)[ch].G.FREAL para verificar si supera los 2.000 mm/min. Por ejemplo, si la variable de lectura es 2350, entonces el valor supera los 2.000 mm/min. Si la variable de lectura es diferente, por ejemplo, 2200, entonces el valor no supera los 2.000 mm/min.",0.802564263343811
Cálculo y unidades,"Efecto del feed override (FRO): con F=1.500 mm/min y FRO=80%, ¿avance efectivo y unidades PLC?","Efectivo = 1.500 × 0,80 = 1.200 mm/min ? 12.000.000 unidades PLC.","Según el contexto, el avance efectivo se calcula multiplicando el valor del avance programado (F) por el valor del porcentaje de avance override (FRO).

En este caso, el avance programado (F) es 1.500 mm/min y el porcentaje de avance override (FRO) es 80%.

Por lo tanto, el avance efectivo se calcula como:

Avance efectivo = F x FRO / 100

Avance efectivo = 1.500 x 80 / 100

Avance efectivo = 1.200 mm/min

En cuanto a las unidades PLC, el avance efectivo se expresa en diezmilésimas si son milímetros por minuto (mm/min). Por lo tanto, para convertir el avance efectivo a unidades PLC, multiplicamos el valor del avance efectivo por 10000:

1.200 mm/min x 10000 = 12000000

Por lo tanto, 1.200 mm/min equivalen a 12000000 en unidades PLC.

Podemos comparar este valor con una variable de lectura de avance efectivo en unidades PLC (V.)[ch].G.FREAL para verificar si son iguales o diferentes. Por ejemplo, si la variable de lectura es 12000000, entonces ambos valores son iguales. Si la variable de lectura es diferente, por ejemplo, 11999000, entonces los valores son diferentes.",0.781255841255188
Cálculo y unidades,"Prioridad de FRO: con PRGFRO=85%, PLC.FRO=40% y CNCFRO=70%, ¿qué FRO aplica y qué avance para F=1.000 mm/min?","Aplica PRGFRO (85%);  avance = 1.000 × 0,85 = 850 mm/min ? 8.500.000 unidades.","Según el contexto, la prioridad del porcentaje de avance override (FRO) se establece en el siguiente orden:

1. Porcentaje de avance override definido por programa (PRGFRO)
2. Porcentaje de avance override definido por PLC (PLC.FRO)
3. Porcentaje de avance override seleccionado en el conmutador del panel de mando (CNCFRO)

En este caso, el porcentaje de avance override definido por programa (PRGFRO) es 85%, el porcentaje de avance override definido por PLC (PLC.FRO) es 40% y el porcentaje de avance override seleccionado en el conmutador del panel de mando (CNCFRO) es 70%.

Por lo tanto, el porcentaje de avance override que aplica es el de mayor prioridad, que es PRGFRO con un valor de 85%.

En cuanto al avance efectivo, se calcula multiplicando el valor del avance programado (F) por el valor del porcentaje de avance override (FRO).

En este caso, el avance programado (F) es 1.000 mm/min y el porcentaje de avance override (FRO) es 85%.

Por lo tanto, el avance efectivo se calcula como:

Avance efectivo = F x FRO / 100

Avance efectivo = 1.000 x 85 / 100

Avance efectivo = 850 mm/min

Podemos comparar este valor con una variable de lectura de avance efectivo (V.)[ch].G.FREAL para verificar si son iguales o diferentes. Por ejemplo, si la variable de lectura es 850, entonces ambos valores son iguales. Si la variable de lectura es diferente, por ejemplo, 849, entonces los valores son diferentes.",0.7471542358398438
Cálculo y unidades,"Rapids: si PLC.G00FRO=60%, ¿cuál es el G00 efectivo respecto al G00 permitido por parámetros?",El rápido se limita al 60% del G00 permitido por parámetros;  no afecta a G01.,"Según el contexto, el avance rápido en modo G00 se calcula multiplicando el valor del avance rápido permitido por el parámetro G00FEED (para ejes lineales) o FRAPIDEN (para cabezales rotativos) por el porcentaje de avance rápido override (RAPIDOVR).

En este caso, el porcentaje de avance rápido override (RAPIDOVR) es 100%, ya que no se especifica un valor diferente. Y el porcentaje de avance rápido override en PLC (PLC.G00FRO) es 60%.

El avance rápido permitido por parámetros para ejes lineales es G00FEED y para cabezales rotativos es FRAPIDEN.

Por lo tanto, el avance rápido efectivo en modo G00 se calcula como:

Avance rápido efectivo = G00FEED o FRAPIDEN x RAPIDOVR x PLC.G00FRO / 100

Avance rápido efectivo = G00FEED o FRAPIDEN x 100 x 60 / 100

Avance rápido efectivo = G00FEED o FRAPIDEN x 60

Por lo tanto, el avance rápido efectivo en modo G00 es el 60% del avance rápido permitido por parámetros para ejes lineales o cabezales rotativos.

Podemos comparar este valor con una variable de lectura de avance rápido efectivo en unidades PLC (V.)[ch].MPG.RAPIDOVREFF para verificar si son iguales o diferentes. Por ejemplo, si la variable de lectura es 60% del valor de G00FEED o FRAPIDEN, entonces ambos valores son iguales. Si la variable de lectura es diferente, por ejemplo, 59%, entonces los valores son diferentes.",0.7517256736755371
Cálculo y unidades,"Escala angular: convierte 0,25° a unidades PLC para comparar con tolerancias.","0,25 × 10.000 = 2.500 unidades PLC.",ERROR: RetryError,0.8014460802078247
Cálculo y unidades,"Conversión inversa: si el PLC lee 7.250.000 de G.FREAL, ¿qué mm/min son?",7.250.000 / 10.000 = 725 mm/min.,ERROR: RetryError,0.7970621585845947
Cálculo y unidades,"Comprobación imperial inversa: si Rxx=5.500.000 en pulgadas/min, ¿qué in/min son?",5.500.000 / 100.000 = 55 in/min.,"Según el contexto, las unidades PLC para el valor angular vienen expresadas en cienmilésimas si son grados. Por lo tanto, para convertir 0,25° a unidades PLC, multiplicamos el valor en grados por 10000:

0,25° x 10000 = 2500

Por lo tanto, 0,25° equivalen a 2500 en unidades PLC.

En cuanto a la conversión inversa, si el PLC lee 7.250.000 de G.FREAL, podemos convertirlo a unidades de mm/min dividiendo el valor en unidades PLC entre 10000:

7.250.000 / 10000 = 725 mm/min

Por lo tanto, 7.250.000 en unidades PLC equivalen a 725 mm/min.

Por último, para la comprobación imperial inversa, si Rxx=5.500.000 en pulgadas/min, podemos convertirlo a unidades de in/min dividiendo el valor en unidades PLC entre 100000:

5.500.000 / 100000 = 55 in/min

Por lo tanto, 5.500.000 en unidades PLC equivalen a 55 in/min.",0.7957242131233215
Cálculo y unidades,"Posición inversa: lectura PLC=1.234.560 en mm, ¿qué cota es?","1.234.560 / 10.000 = 123,456 mm.","Según el contexto, las unidades PLC para la posición vienen expresadas en diezmilésimas si son milímetros. Por lo tanto, para convertir una lectura PLC en unidades de milímetros, dividimos el valor en unidades PLC entre 10000:

1.234.560 / 10000 = 123,456

Por lo tanto, una lectura PLC de 1.234.560 corresponde a una cota de 123,456 mm.

Podemos comparar este valor con una variable de lectura de posición en unidades PLC (V.)[ch].MPA.POSUNITS para verificar si son iguales o diferentes. Por ejemplo, si la variable de lectura es 123,456, entonces ambos valores son iguales. Si la variable de lectura es diferente, por ejemplo, 123,455, entonces los valores son diferentes.",0.7806105017662048
Cálculo y unidades,"Chequeo combinado A218+8070: validar que G.FREAL ? 40 m/min y que FRO ? MAXOVR (x10). Si MAXOVR=1000 (x10), ¿FRO 120% es válido?","MAXOVR = 100,0% (x10). FRO 120% > 100% ? inválido;  recortar a 100%.","Según el contexto, el chequeo combinado A218+8070 involucra dos comprobaciones:

1. Verificar que el valor de la variable G.FREAL es menor o igual a 40 m/min (o 4000000 en unidades PLC).
2. Verificar que el valor de la variable FRO es igual al valor máximo permitido por el parámetro MAXOVR.

En este caso, el valor de MAXOVR es 1000 (o 10000 en unidades PLC). Por lo tanto, el valor máximo permitido para FRO es igual a 1000 (o 10000 en unidades PLC).

Si el valor de FRO es 120%, entonces el valor de FRO en unidades PLC es:

1000 x 120 / 100 = 1200

Por lo tanto, el valor de FRO es 1200 en unidades PLC, que es mayor al valor máximo permitido de 1000 (o 10000 en unidades PLC). Por lo tanto, el valor de FRO de 120% no es válido según el chequeo combinado A218+8070.

Podemos comparar los valores de G.FREAL y FRO con las variables de lectura respectivas (V.)[ch].G.FREAL y (V.)[ch].G.FRO para verificar si cumplen con las condiciones del chequeo combinado A218+8070. Por ejemplo, si la variable de lectura de G.FREAL es 4000000 y la variable de lectura de FRO es 1000, entonces ambas comprobaciones se cumplen. Si alguna de las variables de lectura no cumple con las condiciones, entonces el chequeo combinado A218+8070 no se cumple.",0.7658746838569641
Causalidad encadenada,"Si activo Manual, selecciono jog incremental y pulso +Z con puerta cerrada: ¿qué sucede en el CNC y qué interlocks revisa antes de mover?","Ejecuta jog si están cerradas las puertas con micro y servos habilitados;  si no, bloquea el movimiento.","Según el contexto, si activamos el modo Manual y seleccionamos Jog Incremental, podemos mover los ejes individualmente mediante los botones de jog positivos o negativos.

Si pulsamos el botón +Z con la puerta cerrada, el CNC revisará varios interlocks antes de mover el eje Z. Los interlocks que se revisan antes de mover el eje Z en este caso son:

1. Interbloqueo de puerta (DOORINH): verifica que la puerta esté cerrada y el botón de puerta esté en posición de ""cerrado"".
2. Interbloqueo de selección de modo (MODESEL): verifica que el modo seleccionado sea Manual.
3. Interbloqueo de tipo de movimiento (MOVESEL): verifica que el tipo de movimiento seleccionado sea Jog Incremental.
4. Interbloqueo de limit switches (LIMITZ): verifica que el limit switch Z está activado y el eje está en su posición límite inferior.
5. Interbloqueo de alertas (ALARM): verifica que no haya alertas activas que impidan el movimiento del eje.

Si todos los interlocks se validan correctamente, el CNC moverá el eje Z en la cantidad de pasos especificada en la variable de lectura (V.)[ch].MPA.INCJOGDIST[pos].xn, donde pos es la posición del botón de jog incremental y xn es el eje Z.

En caso de que algún interlock no se valide correctamente, el CNC no moverá el eje Z y se activará una alerta correspondiente al interlock que falló. Por ejemplo, si el interbloqueo de puerta falla porque la puerta está abierta, se activará la alerta ""Puerta abierta"" y el CNC no moverá el eje Z hasta que la puerta esté cerrada y el interbloqueo de puerta se valide correctamente.",0.7379011511802673
Causalidad encadenada,Si subo el override de avance de 50% a 120% en el canal 2 durante G01: ¿qué cambia y qué no cambia en el canal 1?,Afecta solo al canal 2;  el canal 1 permanece con su override/avance vigente.,"Según el contexto, el override de avance es una variable de lectura y escritura desde el PLC o el interfaz que permite fijar un porcentaje de avance para un canal específico. Cuando el override de avance está activo, el avance real del eje se multiplica por el valor del override.

Si aumentamos el override de avance de 50% a 120% en el canal 2 durante una operación G01, el avance real del eje en el canal 2 se multiplicará por 1,2. Por ejemplo, si el avance programado es de 100 mm/min, el avance real del eje en el canal 2 será de 120 mm/min.

Sin embargo, el override de avance no afecta al canal 1, ya que cada canal tiene su propio override de avance. Por lo tanto, el avance real del eje en el canal 1 permanecerá igual y se calculará según el programa y el sobre avance definido en su propio canal.

En resumen, aumentar el override de avance de 50% a 120% en el canal 2 durante una operación G01 cambiará el avance real del eje en el canal 2, pero no afectará al canal 1.",0.79374760389328
Causalidad encadenada,Si el PLC fuerza el G00 override al 60% y el operario ajusta el feed override general al 80%: ¿qué velocidad efectiva resulta en rápido?,"El rápido queda limitado por PLC.G00FEED (no por el override de avance de G01);  efectivo: el límite de G00 aplicado (p. ej., 60% del G00 permitido).","Según el contexto, el PLC puede forzar el override de avance en modo rápido (G00) a un valor determinado. En este caso, el PLC está forzando el override de avance al 60%.

Por otro lado, el operario puede ajustar el override de avance general, que se aplica a todos los modos de movimiento, excepto en modo rápido. En este caso, el operario está ajustando el override de avance general al 80%.

Cuando se combinan los override de avance del PLC y el operario, se aplican multiplicativamente. En este caso, el override de avance efectivo en modo rápido será el producto de los override de avance del PLC y el operario.

override de avance efectivo = override de avance del PLC x override de avance del operario
override de avance efectivo = 60% x 80%
override de avance efectivo = 0,6 x 0,8
override de avance efectivo = 0,48

Por lo tanto, el override de avance efectivo en modo rápido es del 48%, lo que significa que el avance real del eje en modo rápido será el 48% del avance programado.

En resumen, el override de avance efectivo en modo rápido es el producto de los override de avance del PLC y el operario. En este caso, el override de avance efectivo es del 48%, lo que significa que el avance real del eje en modo rápido será el 48% del avance programado.",0.7955681085586548
Causalidad encadenada,Si la presión de aire cae por debajo del umbral durante el retorno: ¿qué eventos/estados se disparan y cómo queda la máquina?,Se genera condición/alarma de aire y el ciclo se detiene hasta restablecer la presión.,"Según el contexto, la presión de aire es una variable de lectura y escritura desde el PLC o el interfaz que permite monitorizar la presión de aire en la máquina. Cuando la presión de aire cae por debajo del umbral especificado, se producen varios eventos y estados en el CNC y la máquina.

En primer lugar, se activará una alerta correspondiente a la interrupción de la presión de aire, lo que indica que la presión de aire está por debajo del umbral especificado.

En segundo lugar, se desactivarán algunos interbloqueos relevantes para garantizar la seguridad de la máquina. Por ejemplo, el interbloqueo de presión de aire (AIRPRESS) se desactivará y se impedirá el movimiento de los ejes. Además, se desactivará el interbloqueo de ciclo (CYCLE) y se detendrá la ejecución del programa actual.

En tercer lugar, se mostrará un mensaje de error en la pantalla de la máquina, indicando que la presión de aire está por debajo del umbral especificado y que es necesario reparar la situación antes de continuar.

En cuarto lugar, la máquina quedará inoperativa y no será posible realizar ninguna operación hasta que se resuelva el problema de la presión de aire. En este caso, el operador deberá revisar el sistema de presión de aire y realizar las acciones necesarias para restablecer el suministro de aire a la máquina.

En resumen, si la presión de aire cae por debajo del umbral durante el retorno, se activará una alerta correspondiente, se desactivarán algunos interbloqueos relevantes, se mostrará un mensaje de error en la pantalla de la máquina y la máquina quedará inoperativa hasta que se resuelva el problema de la presión de aire.",0.7967517375946045
Causalidad encadenada,Si el programa intenta arrancar el cabezal sin haber seleccionado el master: ¿qué condición reporta el CNC y qué variable lo refleja?,"El CNC exige un cabezal destino;  los accesos SP.* sin especificar apuntan al master;  si no existe selección válida, se reporta condición de selección de cabezal.","Según el contexto, el CNC revisa varias condiciones antes de arrancar un cabezal, incluyendo la selección del master. Si el programa intenta arrancar un cabezal sin haber seleccionado el master, el CNC reportará una condición de error y la variable relacionada con la selección del master se establecerá en un valor específico.

En este caso, la condición reportada por el CNC será ""Programación no permitida sin cabezal master en el canal"" y la variable relacionada con la selección del master será (V.)[1].CNC.CH[2].MST. La variable (V.)[1].CNC.CH[2].MST se establecerá en 0, lo que indica que no se ha seleccionado ningún master en el canal 2.

El error se producirá en el primer bloque del programa que intente arrancar el cabezal sin haber seleccionado el master y el CNC mostrará un mensaje de error en la pantalla, indicando la condición reportada y la variable relacionada con la selección del master.

En resumen, si el programa intenta arrancar el cabezal sin haber seleccionado el master, el CNC reportará la condición de error ""Programación no permitida sin cabezal master en el canal"" y la variable relacionada con la selección del master (V.)[1].CNC.CH[2].MST se establecerá en 0.",0.7884053587913513
Causalidad encadenada,Si abro la puerta lateral derecha y luego intento habilitar servos: ¿qué bloquea el sistema y qué señal debe restablecerse?,El micro 24SQ2 abre el circuito de seguridad;  hay que cerrar la puerta y restablecer el relé de seguridad para habilitar servos.,"Según el contexto, si se abre la puerta lateral derecha y luego se intenta habilitar los servos, el sistema bloqueará el proceso de habilitación de los servos. Esto se debe a que el interbloqueo de puerta (DOORINH) está activado y no permite habilitar los servos hasta que la puerta lateral derecha esté cerrada y el interbloqueo de puerta se haya restablecido.

La señal que debe restablecerse para habilitar los servos es la señal del interbloqueo de puerta (DOORINH). Cuando la puerta lateral derecha esté cerrada y el interbloqueo de puerta se haya restablecido, el CNC permitirá habilitar los servos.

En resumen, si se abre la puerta lateral derecha y luego se intenta habilitar los servos, el sistema bloqueará el proceso de habilitación de los servos. La señal que debe restablecerse para habilitar los servos es la señal del interbloqueo de puerta (DOORINH).",0.7888743281364441
Causalidad encadenada,"Si el operario pone F=1200 mm/min pero el rápido G00 está a 60% por PLC, ¿afecta al G01?",No;  PLC.G00FRO afecta al rápido (G00). El G01 se gobierna por avance programado y G.FRO.,"Según el contexto, el override de avance en modo rápido (G00) y el override de avance en el programa (F) se aplican de manera independiente. Por lo tanto, si el operario establece F=1200 mm/min en el programa, pero el override de avance en modo rápido está al 60% por PLC, no afectará al avance en modo G01.

En modo rápido (G00), el avance se calcula como el producto del avance programado y el override de avance en modo rápido. Por lo tanto, si el avance programado es de 1200 mm/min y el override de avance en modo rápido está al 60%, el avance real en modo rápido será de 1200 x 0,6 = 720 mm/min.

Sin embargo, el avance en modo G01 se calcula únicamente a partir del avance programado en el código G y no se ve afectado por el override de avance en modo rápido. Por lo tanto, el avance en modo G01 seguirá siendo de 1200 mm/min.

En resumen, si el operario establece F=1200 mm/min en el programa, pero el override de avance en modo rápido está al 60% por PLC, el avance en modo G01 no se verá afectado y seguirá siendo de 1200 mm/min.",0.7849392890930176
Causalidad encadenada,"Si cambio de mm/min a inch/min en el HMI, ¿cómo cambia la escala al leer avances desde el PLC?",De 1 mm/min = 10.000 unidades PLC a 1 inch/min = 100.000 unidades PLC;  ajustar umbrales/comparaciones.,"Según el contexto, la unidad de las variables de avance en el PLC depende del valor de la variable (V.)MPG.INCHES. Cuando (V.)MPG.INCHES está en 0, las unidades son milímetros (mm), y cuando (V.)MPG.INCHES está en 1, las unidades son pulgadas (inch).

Por lo tanto, si cambia de mm/min a inch/min en el HMI, se debe cambiar el valor de la variable (V.)MPG.INCHES a 1 para reflejar la unidad de pulgadas en el PLC.

Después de cambiar el valor de la variable (V.)MPG.INCHES a 1, las variables de avance en el PLC se mostrarán en unidades de pulgadas en lugar de milímetros. Por ejemplo, si el avance programado es de 1200 mm/min y (V.)MPG.INCHES está en 1, la variable de avance en el PLC se mostrará como 47,24 inch/min.

Es importante tener en cuenta que el cambio de unidades en el PLC solo afecta a la escala de las variables de avance y no afecta al valor real del avance. Por lo tanto, si el avance programado sigue siendo el mismo, el avance real en la máquina será el mismo, independientemente de la unidad de medida.

En resumen, si cambia de mm/min a inch/min en el HMI, se debe cambiar el valor de la variable (V.)MPG.INCHES a 1 para reflejar la unidad de pulgadas en el PLC. Después de cambiar el valor de la variable (V.)MPG.INCHES a 1, las variables de avance en el PLC se mostrarán en unidades de pulgadas en lugar de milímetros. El cambio de unidades solo afecta a la escala de las variables de avance y no afecta al valor real del avance.",0.728604793548584
Causalidad encadenada,"Si el PLC escribe 150% en un porcentaje que el 8070 define como x100, ¿qué leerá el CNC y qué deberíamos escribir de verdad?","Si es x100, 150% debe escribirse como 15000;  de otro modo se interpreta mal (p. ej., 1,5%).","Según el contexto, la variable de porcentaje que el PLC escribe con el valor 150% es probablemente la variable (V.)[ch].PLC.FRO, que define el porcentaje de avance (feed override) establecido por el PLC para el canal [ch].

El CNC interpreta el valor de esta variable como un porcentaje, por lo que si el PLC escribe 150%, el CNC lo interpretará como 150%. Sin embargo, el rango de valores válidos para esta variable es de 0% a 100%, por lo que un valor de 150% está fuera de rango y no es válido.

Si el PLC escribe un valor fuera de rango en la variable (V.)[ch].PLC.FRO, el CNC mostrará un mensaje de error y no aceptará el valor. Por lo tanto, para evitar el error, se debe limitar el valor de la variable (V.)[ch].PLC.FRO al rango de valores válidos, que es de 0% a 100%.

En este caso, si el PLC escribe 150% en la variable (V.)[ch].PLC.FRO, el CNC lo interpretará como 150%, pero no aceptará el valor y mostrará un mensaje de error. Para corregir el error, se debe limitar el valor de la variable (V.)[ch].PLC.FRO al rango de valores válidos, por lo que se debería escribir un valor de 100% en lugar de 150%.

En resumen, si el PLC escribe 150% en un porcentaje que el CNC define como un valor x100, el CNC interpretará el valor como 150%, pero mostrará un mensaje de error debido a que el valor está fuera de rango. Para corregir el error, se debe limitar el valor de la variable al rango de valores válidos, que es de 0% a 100%. En este caso, se debería escribir un valor de 100% en lugar de 150%.",0.7346214652061462
